,Тікер,% вкладення
0,AAPL,0.020301859439446606
1,BTC-USD,2.2219828751864713e-12
2,CC=F,0.011655792498793616
3,ETH-USD,5.57382807516094e-12
4,GC=F,0.4609311395626219
5,KC=F,0.0
6,TSLA,1.1857669127549907e-12
7,USDUAH=X,0.0
8,VNQ,0.16803924666957004
9,^GSPC,0.3390719618217662
